1000,1061
1100,1444
1200,1547
1300,1656
1400,1767
1500,1886
1600,2001
1700,1714
1800,1812
1900,2065
2000,2140
2100,2164
2200,3023
2300,2595
2400,2651
2500,2730
2600,2821
2700,2913
2800,3012
2900,3105
3000,3205
3100,3300
3200,3399
3300,3496
3400,3594
3500,3695
3600,3793
3700,3890
3800,3991
3900,4089
4000,4188
4100,4286
4200,4384
4300,4484
4400,4583
4500,4682
4600,4780
4700,4879
4800,4978
4900,5075
5000,5174
5100,5288
5200,5401
5300,5511
5400,5377
5500,5466
5600,5554
5700,5644
5800,5738
5900,5825
6000,6077
6100,6184
6200,6298
6300,6398
6400,6510
6500,6611
6600,6715
6700,6806
6800,6903
6900,7003
7000,7099
7100,7190
7200,7296
7300,7384
7400,7480
7500,7587
7600,7674
7700,7771
7800,7870
7900,7968
8000,8063
8100,8148
8200,8257
8300,8356
8400,8451
8500,8534
8600,8555
8700,8658
8800,8764
8900,8906
9000,8958
9100,9091
9200,9193
9300,9283
9400,9412
9500,9496
9600,9620
9700,9724
9800,9976
9900,9941
10000,10187
10100,10260
10200,10375
10300,10454
10400,10567
10500,10638
10600,10754
10700,10797
10800,10859
10900,10962
11000,11101
11100,11209
11200,11279
11300,11409
11400,11497
11500,11624
11600,11710
11700,11891
11800,12074
11900,12123
12000,12233
12100,12317
12200,12452
12300,12460
12400,12586
12500,12679
12600,12776
12700,12889
12800,13028
12900,13106
13000,13067
13100,13468
13200,13530
13300,13590
13400,13657
13500,13761
13600,13857
13700,13981
13800,14040
13900,14195
14000,14229
14100,14359
14200,14610
14300,14701
14400,14811
14500,14869
14600,14959
14700,15026
14800,15161
14900,15303
15000,15345
15100,15521
15200,15341
15300,15755
15400,15870
15500,15984
15600,16072
15700,16029
15800,16487
15900,16421
16000,16273
16100,16654
16200,16678
16300,16881
16400,16841
16500,17103
16600,17013
16700,17462
16800,17463
16900,17487
17000,17672
17100,17677
17200,17949
17300,18012
17400,18066
17500,18230
17600,18489
17700,18501
17800,18835
17900,18727
18000,18646
18100,18992
18200,18945
18300,19113
18400,19303
18500,19273
18600,19550
18700,19696
18800,19791
18900,19867
19000,19974
19100,20112
19200,20088
19300,20465
19400,20469
19500,20600
19600,20681
19700,20809
19800,20899
19900,21091
20000,21189
20100,21489
20200,21568
20300,21553
20400,21673
20500,21566
20600,21856
20700,21876
20800,22264
20900,22351
21000,22359
21100,22383
21200,22771
21300,22864
21400,22842
21500,22903
21600,23298
21700,23205
21800,23332
21900,23457
22000,23557
22100,23756
22200,23854
22300,23951
22400,24013
22500,24192
22600,24557
22700,24290
22800,12982
22900,24606
23000,24757
23100,24921
23200,1025
23300,25383
23400,25598
23500,25389
23600,25473
23700,25610
23800,25791
23900,25972
24000,26054
24100,26127
24200,26265
24300,26344
24400,26534
24500,26652
24600,26973
24700,1025
24800,26981
24900,27157
25000,27231
